R,0.06376504898071289,RR,0.22721266746520996,0.12408161163330078
R,0.06461691856384277,RR,0.22735810279846191,0.1244652271270752
R,0.06476092338562012,RR,0.2282099723815918,0.12431931495666504
R,0.06675601005554199,RR,0.2282085418701172,0.1233220100402832
R,0.06461691856384277,RR,0.22636079788208008,0.1232297420501709
R,0.06675601005554199,RR,0.22521758079528809,0.1220865249633789
R,0.13889503479003906,RR,15.470073461532593,15.40675163269043

R,0.13989734649658203,RR,15.471068620681763,15.407304525375366
R,0.14289259910583496,RR,15.471068620681763,15.406306505203247
R,0.1435401439666748,RR,15.471465349197388,15.406703233718872
R,0.14043831825256348,RR,15.471070766448975,15.406309366226196
R,0.1389009952545166,RR,15.472065925598145,15.407278060913086

R,0.1438887119293213,RR,15.470922708511353,15.40630578994751

R,0.1438887119293213,RR,15.470070838928223,15.40630578994751
R,0.14388632774353027,RR,15.471076965332031,15.40432095527649
R,0.1438887119293213,RR,15.470070838928223,15.405309915542603
L,0.06423616409301758,RL,0.21365952491760254,0.07322120666503906
L,0.06357169151306152,RL,0.21332883834838867,0.07043623924255371
L,0.06324481964111328,RL,0.20942926406860352,0.07476449012756348
L,0.06545853614807129,RL,0.21243715286254883,0.07354211807250977
L,0.06275749206542969,RL,0.21432757377624512,0.07043886184692383
L,0.06357169151306152,RL,0.21332883834838867,0.07343149185180664
L,0.06275749206542969,RL,0.21830415725708008,0.07342910766601562
L,0.06357169151306152,RL,0.21293210983276367,0.06939196586608887
L,0.0655679702758789,RL,0.21362876892089844,0.06943559646606445
L,0.06472229957580566,RL,0.2131786346435547,0.07427763938903809
L,0.0644218921661377,RL,0.21347904205322266,0.06959033012390137
L,0.06541633605957031,RL,0.21347904205322266,0.06959033012390137
L,0.06541633605957031,RL,0.21347904205322266,0.06959033012390137
R,0.08835506439208984,LR,0.08037495613098145,0.017130136489868164
R,0.08137845993041992,LR,0.08735156059265137,0.02311539649963379
R,0.07956457138061523,LR,0.0899655818939209,0.024397611618041992
R,0.0810694694519043,LR,0.09046435356140137,0.026892662048339844
R,0.08259010314941406,LR,0.08694577217102051,0.02418828010559082

R,0.08395123481750488,LR,0.08881950378417969,0.023403167724609375
R,0.09394240379333496,RR,2.860063314437866,2.777473211288452
R,0.09459447860717773,RR,2.8594112396240234,2.7758266925811768
R,0.09621357917785645,RR,2.8573899269104004,2.773268699645996
